foodatlas_id	source	reference	entity_linking_method	_chemical_name	_flavor_name
mf61	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5988'}	id_matching	PUBCHEM_COMPOUND:5988	... odorless ... [note: may have a characteristic caramel odor when heated].
mf62	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=876'}	id_matching	PUBCHEM_COMPOUND:876	acidic
mf63	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=876'}	id_matching	PUBCHEM_COMPOUND:876	sulfurous
mf64	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=876'}	id_matching	PUBCHEM_COMPOUND:876	faint
mf65	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=876'}	id_matching	PUBCHEM_COMPOUND:876	mild
mf66	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=10991489'}	id_matching	PUBCHEM_COMPOUND:10991489	sweet
mf67	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439186'}	id_matching	PUBCHEM_COMPOUND:439186	sweet
mf68	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=439186'}	id_matching	PUBCHEM_COMPOUND:439186	odorless
mf69	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6036'}	id_matching	PUBCHEM_COMPOUND:6036	sweet
mf70	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=187808'}	id_matching	PUBCHEM_COMPOUND:187808	sweet-like
mf71	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=187808'}	id_matching	PUBCHEM_COMPOUND:187808	bitter
mf72	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=187808'}	id_matching	PUBCHEM_COMPOUND:187808	sweet-likebitter
mf73	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=6057'}	id_matching	PUBCHEM_COMPOUND:6057	odorless
mf74	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=5281708'}	id_matching	PUBCHEM_COMPOUND:5281708	bitter
mf75	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=962'}	id_matching	PUBCHEM_COMPOUND:962	tasteless
mf76	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=962'}	id_matching	PUBCHEM_COMPOUND:962	odorless
mf77	flavordb	{'url': 'https://cosylab.iiitd.edu.in/flavordb/molecules_json?id=107971'}	id_matching	PUBCHEM_COMPOUND:107971	bitter
